City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1430,Rio Bravo,MX,2023-03-02 02:00:57,25.9833,-98.1,79.29,83,99,16.22
1431,Deming,US,2023-03-02 02:00:57,32.2687,-107.7586,53.38,28,56,29.62
1432,Newnan,US,2023-03-02 02:00:58,33.3807,-84.7997,71.38,87,97,5.28
1433,Altoona,US,2023-03-02 02:00:58,40.5187,-78.3947,51.69,72,100,3.74
1434,Kingsland,US,2023-03-02 02:00:05,30.8,-81.6898,73.96,84,74,4.18
1435,Marietta,US,2023-03-02 01:57:49,33.9526,-84.5499,71.76,79,75,9.22
1436,Yuma,US,2023-03-02 01:56:35,32.7253,-114.6244,50.77,62,75,12.66
1437,Selkirk,CA,2023-03-02 01:56:16,50.1436,-96.8845,5.07,97,99,2.06
1438,State College,US,2023-03-02 01:59:12,40.7934,-77.86,50.18,74,40,3.0
1439,Rosamorada,MX,2023-03-02 02:00:59,22.1222,-105.2058,66.58,69,96,1.92
1440,Malibu,US,2023-03-02 02:00:21,34.005,-118.8101,53.26,51,0,5.99
1441,Ardmore,US,2023-03-02 01:58:38,34.1743,-97.1436,58.24,61,0,0.0
1442,Arthur,US,2023-03-02 01:56:47,39.7148,-88.4723,53.85,82,100,5.01
1443,Burlington,US,2023-03-02 02:00:23,39.8835,-74.6413,44.69,90,100,5.75
1444,Blytheville,US,2023-03-02 01:57:17,35.9273,-89.919,64.38,93,100,0.0
1445,Clearlake,US,2023-03-02 02:01:00,38.9582,-122.6264,44.15,42,99,7.02
1446,Cape Coral,US,2023-03-02 02:00:17,26.5629,-81.9495,73.98,85,17,1.01
1447,Davidson,US,2023-03-02 01:56:43,36.1501,-86.7833,71.89,79,100,10.36
1448,Roberval,CA,2023-03-02 02:00:21,48.5168,-72.2324,28.35,80,75,4.61
1449,Pooler,US,2023-03-02 02:01:01,32.1155,-81.2471,69.96,84,0,8.05
1450,Hillsboro,US,2023-03-02 02:00:04,45.5229,-122.9898,43.54,73,100,2.73
1451,Glasgow,GB,2023-03-02 02:00:05,55.8652,-4.2576,42.42,70,100,9.22
1452,Portsmouth,GB,2023-03-02 02:01:01,50.799,-1.0913,38.28,89,6,3.0
1453,Brownfield,US,2023-03-02 02:01:02,33.1812,-102.2744,60.39,22,99,9.31
1454,Toronto,CA,2023-03-02 01:59:47,43.7001,-79.4163,34.99,82,100,25.32
1455,Avenal,US,2023-03-02 02:01:03,36.0041,-120.129,47.97,54,3,13.51
1456,Monmouth,US,2023-03-02 01:56:53,40.3001,-74.1663,43.12,76,100,6.91
1457,Stony Plain,CA,2023-03-02 02:00:21,53.5334,-114.0021,18.91,74,40,6.91
1458,Spencer,US,2023-03-02 02:01:04,43.1414,-95.1444,26.71,79,100,11.5
1459,Clearwater,US,2023-03-02 01:59:14,27.9659,-82.8001,72.09,77,0,3.44
1460,Eagle,US,2023-03-02 02:01:04,43.6954,-116.354,37.35,66,0,8.05
1461,Nativitas,MX,2023-03-02 02:01:05,19.2333,-98.3167,63.14,44,7,4.27
1462,Etchoropo,MX,2023-03-02 02:01:05,26.7667,-109.6667,62.42,53,100,8.41
1463,Mission,US,2023-03-02 02:00:21,26.2159,-98.3253,79.21,78,100,5.99
1464,Palau,PW,2023-03-02 02:01:06,7.503,134.621,81.99,76,100,12.1
1465,New Port Richey,US,2023-03-02 02:00:04,28.2442,-82.7193,72.12,85,0,6.38
1466,Clive,US,2023-03-02 02:01:06,41.603,-93.7241,33.93,78,75,19.57
1467,Catalina Foothills,US,2023-03-02 02:01:07,32.2979,-110.9187,59.29,42,100,25.32
1468,Honolulu,US,2023-03-02 01:57:01,21.3069,-157.8583,75.02,73,75,21.85
1469,Keokuk,US,2023-03-02 02:01:07,40.3973,-91.3849,47.26,39,20,3.44
1470,Kanata,CA,2023-03-02 01:58:26,45.3159,-75.8985,34.56,76,100,10.0
1471,General Bravo,MX,2023-03-02 02:02:08,25.8,-99.1667,81.86,55,98,19.01
1472,Missoula,US,2023-03-02 01:58:34,47.0166,-113.8009,25.2,91,100,4.7
1473,Cardenas,CU,2023-03-02 01:59:34,23.0375,-81.2047,72.3,67,0,12.15
1474,East Stroudsburg,US,2023-03-02 02:02:09,40.9995,-75.1813,42.57,88,70,2.33
1475,Oshawa,CA,2023-03-02 01:58:52,43.9001,-78.8496,33.91,53,75,8.05
1476,Highland Springs,US,2023-03-02 02:02:10,37.546,-77.3278,51.44,91,75,0.0
1477,Nombre De Dios,MX,2023-03-02 02:02:10,23.85,-104.2333,63.5,32,94,10.69
1478,South San Jose Hills,US,2023-03-02 02:02:11,34.0128,-117.9048,52.48,44,40,12.66
1479,Goderich,CA,2023-03-02 02:02:11,43.7501,-81.7165,33.91,86,90,1.14
1480,Spirit River,CA,2023-03-02 02:01:53,55.7833,-118.8361,25.23,76,100,13.06
1481,Primo Tapia,MX,2023-03-02 02:02:12,32.22,-116.9172,51.58,60,24,30.62
1482,Princeville,CA,2023-03-02 02:02:13,45.7668,-61.2985,21.65,70,0,4.61
1483,Merrydale,US,2023-03-02 02:02:14,30.5013,-91.1084,78.12,76,1,10.54
1484,West Helena,US,2023-03-02 02:00:05,34.5507,-90.6418,65.88,94,97,12.46
1485,Nanton,CA,2023-03-02 02:02:14,50.3501,-113.7687,32.05,74,100,6.93
1486,Palm Beach,US,2023-03-02 02:02:15,26.6503,-80.4498,76.98,85,9,7.85
1487,Irmo,US,2023-03-02 02:02:15,34.086,-81.1832,70.52,63,99,4.97
1488,Kingsburg,US,2023-03-02 02:02:16,36.5138,-119.554,50.09,81,100,5.75
1489,Bonney Lake,US,2023-03-02 01:58:44,47.1771,-122.1865,43.47,67,100,4.0
1490,Frederick,US,2023-03-02 02:01:18,39.4668,-77.3997,53.92,81,0,0.0
