Calculation1,Fips,Metro area,Latitude (generated),Longitude (generated),Share of recent buyers
2,38340,"Pittsfield, MA Metro Area",42.3915,-73.2021,5.8%
2,38220,"Pine Bluff, AR Metro Area",34.0987,-91.8369,6.5%
2,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",39.9494,-75.2383,5.6%
2,37900,"Peoria, IL Metro Area",40.7761,-89.4577,7.5%
2,36780,"Oshkosh-Neenah, WI Metro Area",44.0684,-88.6451,5.8%
2,36540,"Omaha-Council Bluffs, NE-IA Metro Area",41.3245,-96.0317,7.5%
2,36420,"Oklahoma City, OK Metro Area",35.4226,-97.724,6.6%
2,36220,"Odessa, TX Metro Area",31.8707,-102.5429,5.1%
2,35840,"North Port-Sarasota-Bradenton, FL Metro Area",27.2972,-82.3447,7.4%
2,35660,"Niles-Benton Harbor, MI Metro Area",42.0017,-86.6862,6.2%
2,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",40.778,-73.7087,5.4%
2,35300,"New Haven-Milford, CT Metro Area",41.3658,-72.8776,5.8%
2,35100,"New Bern, NC Metro Area",35.0996,-77.0357,7.4%
2,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",36.0303,-86.7925,7.8%
2,34900,"Napa, CA Metro Area",38.5096,-122.326,5.2%
2,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",33.9705,-78.2911,8.0%
2,34740,"Muskegon, MI Metro Area",43.2958,-86.587,7.0%
2,34580,"Mount Vernon-Anacortes, WA Metro Area",48.4768,-121.9059,7.8%
2,34100,"Morristown, TN Metro Area",36.1207,-83.4366,5.8%
2,34060,"Morgantown, WV Metro Area",39.4582,-79.7187,5.8%
2,33860,"Montgomery, AL Metro Area",32.3654,-86.407,6.3%
2,33740,"Monroe, LA Metro Area",32.6366,-92.1696,6.4%
2,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.2214,-93.5043,7.2%
2,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",43.1933,-87.8277,5.9%
2,33220,"Midland, MI Metro Area",43.6447,-84.3875,7.4%
2,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",26.0551,-80.4596,7.3%
2,32900,"Merced, CA Metro Area",37.187,-120.6093,6.3%
2,32820,"Memphis, TN-MS-AR Metro Area",35.0381,-89.7993,6.0%
2,31860,"Mankato-North Mankato, MN Metro Area",44.1527,-94.0685,5.4%
2,31700,"Manchester-Nashua, NH Metro Area",42.952,-71.7201,6.1%
2,31540,"Madison, WI Metro Area",43.0719,-89.7202,6.7%
2,31460,"Madera, CA Metro Area",37.2706,-119.6356,7.3%
2,31420,"Macon-Bibb County, GA Metro Area",32.8283,-83.7458,6.4%
2,31340,"Lynchburg, VA Metro Area",37.4101,-79.2122,7.0%
2,31180,"Lubbock, TX Metro Area",33.3967,-101.6791,5.9%
2,31140,"Louisville/Jefferson County, KY-IN Metro Area",38.3188,-85.6272,6.7%
2,30980,"Longview, TX Metro Area",32.374,-94.7391,5.9%
2,30860,"Logan, UT-ID Metro Area",41.8997,-111.7921,5.9%
