Calculation1,Fips,Metro area,Latitude (generated),Longitude (generated),Share of recent buyers
1,26380,"Houma-Thibodaux, LA Metro Area",29.4536,-90.6521,4.8%
1,25980,"Hinesville, GA Metro Area",31.8068,-81.6438,4.6%
1,25500,"Harrisonburg, VA Metro Area",38.5283,-78.9404,4.4%
1,25220,"Hammond, LA Metro Area",30.6175,-90.4081,4.6%
1,24780,"Greenville, NC Metro Area",35.5802,-77.3635,3.3%
1,23460,"Gadsden, AL Metro Area",34.0211,-86.0433,2.6%
1,22500,"Florence, SC Metro Area",34.1554,-79.8506,4.8%
1,22140,"Farmington, NM Metro Area",36.5004,-108.3357,2.3%
1,22020,"Fargo, ND-MN Metro Area",46.934,-96.9278,4.9%
1,21500,"Erie, PA Metro Area",42.1824,-80.1407,4.5%
1,21140,"Elkhart-Goshen, IN Metro Area",41.5978,-85.8585,4.0%
1,21060,"Elizabethtown-Fort Knox, KY Metro Area",37.8104,-85.9517,4.4%
1,20940,"El Centro, CA Metro Area",33.0262,-115.3571,3.7%
1,19500,"Decatur, IL Metro Area",39.8549,-88.9817,3.2%
1,19460,"Decatur, AL Metro Area",34.552,-87.1635,3.8%
1,19180,"Danville, IL Metro Area",40.1792,-87.7362,3.2%
1,19140,"Dalton, GA Metro Area",34.7858,-84.8822,3.2%
1,18020,"Columbus, IN Metro Area",39.1931,-85.8842,3.6%
1,16580,"Champaign-Urbana, IL Metro Area",40.3948,-88.1963,4.7%
1,16020,"Cape Girardeau, MO-IL Metro Area",37.2885,-89.7109,3.2%
1,15180,"Brownsville-Harlingen, TX Metro Area",26.1248,-97.4854,4.0%
1,14100,"Bloomsburg-Berwick, PA Metro Area",41.0428,-76.4941,3.8%
1,13780,"Binghamton, NY Metro Area",42.2062,-76.0867,3.8%
1,13380,"Bellingham, WA Metro Area",48.8142,-121.8478,4.9%
1,13220,"Beckley, WV Metro Area",37.8857,-81.1637,4.1%
1,12260,"Augusta-Richmond County, GA-SC Metro Area",33.3936,-82.0247,4.6%
1,12100,"Atlantic City-Hammonton, NJ Metro Area",39.5086,-74.6812,4.0%
1,11020,"Altoona, PA Metro Area",40.4926,-78.3484,4.6%
1,10780,"Alexandria, LA Metro Area",31.3434,-92.5269,4.5%
